Provinsi;2021;2022
ACEH;37572.42;50658.89
SUMATERA UTARA;162133.88;193126.42
SUMATERA BARAT;51509;43779.52
RIAU;90038.57;104331.48
JAMBI;48546.06;50428.18
SUMATERA SELATAN;110078.14;123689.5
BENGKULU;10856.96;14341.12
LAMPUNG;92935.44;123197.57
KEP. BANGKA BELITUNG;23330.53;31598.39
KEP. RIAU;18077.76;24176.1
DKI JAKARTA;-;-
JAWA BARAT;706153.69;733981.72
JAWA TENGAH;621718.06;742948.31
DI YOGYAKARTA;55174.08;75710.7
JAWA TIMUR;433757.08;586703.35
BANTEN;188116.6;195901.61
BALI;75772.7;86016.48
NUSA TENGGARA BARAT;37626.1;36982.17
NUSA TENGGARA TIMUR;14916.65;11840.71
KALIMANTAN BARAT;54616.78;57312.29
KALIMANTAN TENGAH;34400.6;47606.46
KALIMANTAN SELATAN;102300.2;157544.24
KALIMANTAN TIMUR;61612.11;85909.02
KALIMANTAN UTARA;4327.35;3277.23
SULAWESI UTARA;11775.3;13941.8
SULAWESI TENGAH;9172.34;10914.36
SULAWESI SELATAN;102443.75;132352.98
SULAWESI TENGGARA;8834.48;10198.76
GORONTALO;6134.41;6200.14
SULAWESI BARAT;4248.62;5687.2
MALUKU;582.77;360.49
MALUKU UTARA;92.48;63.67
PAPUA BARAT;1021.73;890.47
PAPUA;5821.84;3901.77
INDONESIA;3185698.48;3765573.09
