Provinsi;2021;2022
ACEH;2715.19;2774.44
SUMATERA UTARA;2185.2;2260.41
SUMATERA BARAT;1961.53;1980.64
RIAU;1978.71;2008.64
JAMBI;1606.24;1783.84
SUMATERA SELATAN;681.77;702.29
BENGKULU;302.68;314
LAMPUNG;174.76;184.06
KEP. BANGKA BELITUNG;3.2;-
KEP. RIAU;-;-
DKI JAKARTA;24.17;26.95
JAWA BARAT;676.53;1655.14
JAWA TENGAH;1097.12;1510.27
DI YOGYAKARTA;1.68;1.68
JAWA TIMUR;69.9;71.65
BANTEN;992.44;1283.75
BALI;18.83;19.22
NUSA TENGGARA BARAT;800.67;838.42
NUSA TENGGARA TIMUR;1160.36;1232.63
KALIMANTAN BARAT;35.28;33.78
KALIMANTAN TENGAH;69.49;70.58
KALIMANTAN SELATAN;363.47;396.7
KALIMANTAN TIMUR;63.21;64.56
KALIMANTAN UTARA;10.3;10.3
SULAWESI UTARA;-;-
SULAWESI TENGAH;18.15;20.71
SULAWESI SELATAN;1574.3;1499.51
SULAWESI TENGGARA;32.3;32.77
GORONTALO;-;-
SULAWESI BARAT;231.91;233.9
MALUKU;63.33;76.78
MALUKU UTARA;-;-
PAPUA BARAT;-;-
PAPUA;29;32.54
INDONESIA;18941.73;21120.15
