Provinsi;2021;2022;;;;;
ACEH;11674.1;12014.96;;;;;
SUMATERA UTARA;13745.06;13859.09;;;;;
SUMATERA BARAT;21375.13;21514.66;;;;;
RIAU;8948.7;9127.69;;;;;
JAMBI;4638.46;5760.1;;;;;
SUMATERA SELATAN;13832.62;15458.87;;;;;
BENGKULU;4348.01;3329.27;;;;;
LAMPUNG;21130.03;21176.2;;;;;
KEP. BANGKA BELITUNG;3233.04;3395.04;;;;;
KEP. RIAU;1453.07;1390.39;;;;;
DKI JAKARTA;16381.81;17617.61;;;;;
JAWA BARAT;78134.54;84960.62;;;;;
JAWA TENGAH;65150.77;61393.95;;;;;
DI YOGYAKARTA;7830.73;7899.9;;;;;
JAWA TIMUR;108284.07;110991.18;;;;;
BANTEN;17933.48;17242.69;;;;;
BALI;4650.67;4694.03;;;;;
NUSA TENGGARA BARAT;11014.08;11159.01;;;;;
NUSA TENGGARA TIMUR;8176.8;8680.44;;;;;
KALIMANTAN BARAT;5119.52;5095.89;;;;;
KALIMANTAN TENGAH;3965.53;4113.87;;;;;
KALIMANTAN SELATAN;7328.53;7351.35;;;;;
KALIMANTAN TIMUR;7319.28;7465.56;;;;;
KALIMANTAN UTARA;808.02;895.57;;;;;
SULAWESI UTARA;3103.44;3169.39;;;;;
SULAWESI TENGAH;5926.7;5967.2;;;;;
SULAWESI SELATAN;15366.14;16277.51;;;;;
SULAWESI TENGGARA;4522.93;4525.62;;;;;
GORONTALO;2899.38;2918.75;;;;;
SULAWESI BARAT;1636.87;1725.34;;;;;
MALUKU;2306.54;2308.12;;;;;
MALUKU UTARA;1300.92;1320.51;;;;;
PAPUA BARAT;1832.35;1506.02;;;;;
PAPUA;2430.88;2616.77;;;;;
INDONESIA;487802.21;498923.14;;;;;
;;;;;;;
Metadata Indikator;;;;;;;
Indikator;Konsep;Definisi;;;;;
Produksi Daging;Produksi daging hasil pemotongan;Produksi dari pemotongan ternak yang di potong di rumah potong hewan berupa daging.;;;;;
;-;-;Interpretasi;Metode Perhitungan;Rumus;Ukuran;Dihasilkan dari kegiatan
;;;Semakin tinggi produksi daging dari pemotongan ternak RPH/TPH maka semakin tinggi konsumsi daging merah di Indonesia.;;;;
;;;Berat;Laporan Triwulanan Pemotongan Ternak (RPH dan Keurmaster);;;
