Provinsi;2021;2022
ACEH;774.4;1406.31
SUMATERA UTARA;453118.88;584728.4
SUMATERA BARAT;303344.86;389413.95
RIAU;4066.73;2380.91
JAMBI;42392.32;69078.65
SUMATERA SELATAN;185928.45;229672.82
BENGKULU;8250.92;8277.59
LAMPUNG;197993.17;213206.31
KEP. BANGKA BELITUNG;27037.46;22741.1
KEP. RIAU;17822.64;20897.07
DKI JAKARTA;-;-
JAWA BARAT;661895.15;699384.4
JAWA TENGAH;735883.59;827711.57
DI YOGYAKARTA;129785.12;168303
JAWA TIMUR;1475886.12;1314114.93
BANTEN;235099.35;318552.4
BALI;191589.11;176855.43
NUSA TENGGARA BARAT;45991.24;40154.99
NUSA TENGGARA TIMUR;5229.98;6266.03
KALIMANTAN BARAT;53475.51;70235.91
KALIMANTAN TENGAH;8396.73;3050.77
KALIMANTAN SELATAN;84160.59;106115.05
KALIMANTAN TIMUR;30229.35;29051.65
KALIMANTAN UTARA;2213.16;1014.67
SULAWESI UTARA;33302.47;30760.56
SULAWESI TENGAH;17528.05;13208.53
SULAWESI SELATAN;176766.8;188248.24
SULAWESI TENGGARA;2134.85;1459.71
GORONTALO;2728.33;2164.63
SULAWESI BARAT;164.85;541.16
MALUKU;1265.25;1691.11
MALUKU UTARA;37.09;160.21
PAPUA BARAT;7517.32;9648.27
PAPUA;13987.82;15843.11
INDONESIA;5155997.65;5566339.44
